2024-07-09 21:58:11,164 - INFO - Step: 63, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,165 - INFO - Step: 64, Action: 1, Reward: 1.4531839180884787, State: 3
2024-07-09 21:58:11,165 - INFO - Step: 65, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,165 - INFO - Step: 66, Action: 1, Reward: 1.4531839180884787, State: 3
2024-07-09 21:58:11,166 - INFO - Step: 67, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,166 - INFO - Step: 68, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,166 - INFO - Step: 69, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,167 - INFO - Step: 70, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,167 - INFO - Step: 71, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,167 - INFO - Step: 72, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,167 - INFO - Step: 73, Action: 1, Reward: 1.4531839180884787, State: 3
2024-07-09 21:58:11,168 - INFO - Step: 74, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,168 - INFO - Step: 75, Action: 1, Reward: 1.4531839180884787, State: 3
2024-07-09 21:58:11,169 - INFO - Step: 76, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,169 - INFO - Step: 77, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,169 - INFO - Step: 78, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,169 - INFO - Step: 79, Action: 1, Reward: 1.4531839180884787, State: 3
2024-07-09 21:58:11,170 - INFO - Step: 80, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,170 - INFO - Step: 81, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,170 - INFO - Step: 82, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,171 - INFO - Step: 83, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,171 - INFO - Step: 84, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,172 - INFO - Step: 85, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,173 - INFO - Step: 86, Action: 1, Reward: 1.4531839180884787, State: 3
2024-07-09 21:58:11,173 - INFO - Step: 87, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,174 - INFO - Step: 88, Action: 1, Reward: 1.4531839180884787, State: 3
2024-07-09 21:58:11,174 - INFO - Step: 89, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,174 - INFO - Step: 90, Action: 1, Reward: 1.4531839180884787, State: 3
2024-07-09 21:58:11,175 - INFO - Step: 91, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,175 - INFO - Step: 92, Action: 1, Reward: 1.4531839180884787, State: 3
2024-07-09 21:58:11,175 - INFO - Step: 93, Action: 1, Reward: 1.4531839180884787, State: 3
2024-07-09 21:58:11,176 - INFO - Step: 94, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,176 - INFO - Step: 95, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,176 - INFO - Step: 96, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,177 - INFO - Step: 97, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,177 - INFO - Step: 98, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,178 - INFO - Step: 99, Action: 2, Reward: 1.9120514596419453, State: 3
2024-07-09 21:58:11,178 - INFO - Step: 100, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,178 - INFO - Step: 101, Action: 0, Reward: 0.4002712415549082, State: 3
2024-07-09 21:58:11,179 - INFO - Step: 1, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,180 - INFO - Step: 2, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,180 - INFO - Step: 3, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,181 - INFO - Step: 4, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,181 - INFO - Step: 5, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,182 - INFO - Step: 6, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,182 - INFO - Step: 7, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,183 - INFO - Step: 8, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,183 - INFO - Step: 9, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,184 - INFO - Step: 10, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,184 - INFO - Step: 11, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,184 - INFO - Step: 12, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,185 - INFO - Step: 13, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,186 - INFO - Step: 14, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,186 - INFO - Step: 15, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,186 - INFO - Step: 16, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,187 - INFO - Step: 17, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,187 - INFO - Step: 18, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,187 - INFO - Step: 19, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,188 - INFO - Step: 20, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,188 - INFO - Step: 21, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,188 - INFO - Step: 22, Action: 2, Reward: 10.299471163091722, State: 7
2024-07-09 21:58:11,189 - INFO - Step: 23, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,189 - INFO - Step: 24, Action: 0, Reward: 14.508657238495339, State: 3
2024-07-09 21:58:11,189 - INFO - Step: 25, Action: 1, Reward: 6.0296496916382925, State: 7
2024-07-09 21:58:11,190 - INFO - Step: 26, Action: 2, Reward: 10.299471163091722, State: 7
