2024-07-09 21:29:05,070 - INFO - Step: 1, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,078 - INFO - Step: 2, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,078 - INFO - Step: 3, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,079 - INFO - Step: 4, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,079 - INFO - Step: 5, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,080 - INFO - Step: 6, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,080 - INFO - Step: 7, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,083 - INFO - Step: 8, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,084 - INFO - Step: 9, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,084 - INFO - Step: 10, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,085 - INFO - Step: 11, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,085 - INFO - Step: 12, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,086 - INFO - Step: 13, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,086 - INFO - Step: 14, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,087 - INFO - Step: 15, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,087 - INFO - Step: 16, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,087 - INFO - Step: 17, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,088 - INFO - Step: 18, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,088 - INFO - Step: 19, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,088 - INFO - Step: 20, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,089 - INFO - Step: 21, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,089 - INFO - Step: 22, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,090 - INFO - Step: 23, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,090 - INFO - Step: 24, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,090 - INFO - Step: 25, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,091 - INFO - Step: 26, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,091 - INFO - Step: 27, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,092 - INFO - Step: 28, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,092 - INFO - Step: 29, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,093 - INFO - Step: 30, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,093 - INFO - Step: 31, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,094 - INFO - Step: 32, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,094 - INFO - Step: 33, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,094 - INFO - Step: 34, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,095 - INFO - Step: 35, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,095 - INFO - Step: 36, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,095 - INFO - Step: 37, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,096 - INFO - Step: 38, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,096 - INFO - Step: 39, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,096 - INFO - Step: 40, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,097 - INFO - Step: 41, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,097 - INFO - Step: 42, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,098 - INFO - Step: 43, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,098 - INFO - Step: 44, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,099 - INFO - Step: 45, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,099 - INFO - Step: 46, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,100 - INFO - Step: 47, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,100 - INFO - Step: 48, Action: 2, Reward: 3.451416839586552, State: 1
2024-07-09 21:29:05,101 - INFO - Step: 49, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,101 - INFO - Step: 50, Action: 1, Reward: 1.7569614971321654, State: 1
2024-07-09 21:29:05,101 - INFO - Step: 51, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,102 - INFO - Step: 52, Action: 0, Reward: 3.4669418525690467, State: 3
2024-07-09 21:29:05,102 - INFO - Step: 53, Action: 0, Reward: 3.4669418525690467, State: 3
